"latitude","longitude","generationtime_ms","utc_offset_seconds","timezone","timezone_abbreviation","elevation","hourly_units__time","hourly_units__temperature_2m","hourly_units__relative_humidity_2m","hourly_units__windspeed_10m","hourly_units__windgusts_10m","hourly_units__pressure_msl","hourly_units__weathercode","hourly__time","hourly__temperature_2m","hourly__relative_humidity_2m","hourly__windspeed_10m","hourly__windgusts_10m","hourly__pressure_msl","hourly__weathercode"
"23.022846","72.60188","116.17565155029297","0","GMT","GMT","53.0","iso8601","°C","%","km/h","km/h","hPa","wmo code","2024-01-01T00:00","15.4","92","7.9","12.6","1014.2","0"
"","","","","","","","","","","","","","","2024-01-01T01:00","15.9","94","8.4","14.0","1014.9","0"
"","","","","","","","","","","","","","","2024-01-01T02:00","15.8","95","8.5","13.7","1015.4","0"
"","","","","","","","","","","","","","","2024-01-01T03:00","17.5","89","10.7","17.3","1016.0","0"
"","","","","","","","","","","","","","","2024-01-01T04:00","20.0","78","9.1","19.4","1016.7","0"
"","","","","","","","","","","","","","","2024-01-01T05:00","22.7","68","8.0","19.8","1016.8","0"
"","","","","","","","","","","","","","","2024-01-01T06:00","25.2","58","7.9","20.9","1016.0","0"
"","","","","","","","","","","","","","","2024-01-01T07:00","26.8","50","5.4","20.5","1015.0","0"
"","","","","","","","","","","","","","","2024-01-01T08:00","27.5","45","4.0","17.6","1013.7","0"
"","","","","","","","","","","","","","","2024-01-01T09:00","28.0","41","5.4","16.9","1012.9","0"
"","","","","","","","","","","","","","","2024-01-01T10:00","28.2","38","8.7","19.8","1012.4","0"
"","","","","","","","","","","","","","","2024-01-01T11:00","27.7","39","9.4","20.2","1012.1","0"
"","","","","","","","","","","","","","","2024-01-01T12:00","26.0","46","5.9","18.7","1012.3","0"
"","","","","","","","","","","","","","","2024-01-01T13:00","22.6","62","7.3","10.1","1013.4","0"
"","","","","","","","","","","","","","","2024-01-01T14:00","21.5","68","6.3","10.1","1014.2","0"
"","","","","","","","","","","","","","","2024-01-01T15:00","21.0","71","9.0","14.4","1014.8","0"
"","","","","","","","","","","","","","","2024-01-01T16:00","20.2","75","8.4","14.8","1015.3","0"
"","","","","","","","","","","","","","","2024-01-01T17:00","19.2","78","7.2","13.3","1015.2","0"
"","","","","","","","","","","","","","","2024-01-01T18:00","18.5","80","7.9","12.2","1015.1","0"
"","","","","","","","","","","","","","","2024-01-01T19:00","17.8","82","7.1","13.7","1014.7","0"
"","","","","","","","","","","","","","","2024-01-01T20:00","17.0","87","6.9","11.2","1014.5","0"
"","","","","","","","","","","","","","","2024-01-01T21:00","16.6","91","7.4","12.2","1014.3","0"
"","","","","","","","","","","","","","","2024-01-01T22:00","16.3","93","7.9","13.0","1013.8","0"
"","","","","","","","","","","","","","","2024-01-01T23:00","16.1","93","8.4","13.3","1013.9","0"
"","","","","","","","","","","","","","","2024-01-02T00:00","15.9","93","8.7","14.0","1013.9","0"
"","","","","","","","","","","","","","","2024-01-02T01:00","16.3","94","11.0","17.6","1014.4","0"
"","","","","","","","","","","","","","","2024-01-02T02:00","16.1","94","10.7","18.0","1015.1","0"
"","","","","","","","","","","","","","","2024-01-02T03:00","17.5","87","11.5","19.4","1015.6","0"
"","","","","","","","","","","","","","","2024-01-02T04:00","19.8","77","11.5","22.7","1016.1","0"
"","","","","","","","","","","","","","","2024-01-02T05:00","22.4","68","10.6","23.4","1016.0","0"
"","","","","","","","","","","","","","","2024-01-02T06:00","24.5","61","9.0","23.8","1015.1","0"
"","","","","","","","","","","","","","","2024-01-02T07:00","26.0","57","6.9","22.3","1013.7","0"
"","","","","","","","","","","","","","","2024-01-02T08:00","27.1","51","6.2","19.4","1012.5","0"
"","","","","","","","","","","","","","","2024-01-02T09:00","27.8","46","8.8","21.2","1011.8","0"
"","","","","","","","","","","","","","","2024-01-02T10:00","27.9","43","10.8","23.0","1011.1","0"
"","","","","","","","","","","","","","","2024-01-02T11:00","27.5","43","11.4","23.0","1011.4","0"
"","","","","","","","","","","","","","","2024-01-02T12:00","26.2","47","10.0","21.6","1011.7","0"
"","","","","","","","","","","","","","","2024-01-02T13:00","22.6","61","9.0","14.4","1012.9","0"
"","","","","","","","","","","","","","","2024-01-02T14:00","21.6","63","9.9","15.8","1014.0","0"
"","","","","","","","","","","","","","","2024-01-02T15:00","20.4","67","8.4","15.8","1014.3","0"
"","","","","","","","","","","","","","","2024-01-02T16:00","19.4","71","8.4","13.7","1014.6","0"
"","","","","","","","","","","","","","","2024-01-02T17:00","18.5","74","7.9","13.3","1014.6","0"
"","","","","","","","","","","","","","","2024-01-02T18:00","17.8","77","7.8","12.6","1014.4","0"
"","","","","","","","","","","","","","","2024-01-02T19:00","17.2","78","8.6","13.7","1014.1","0"
"","","","","","","","","","","","","","","2024-01-02T20:00","16.2","79","7.8","13.3","1014.1","0"
"","","","","","","","","","","","","","","2024-01-02T21:00","15.4","82","6.1","12.2","1013.8","0"
"","","","","","","","","","","","","","","2024-01-02T22:00","15.1","84","8.1","12.6","1013.4","0"
"","","","","","","","","","","","","","","2024-01-02T23:00","14.9","89","8.2","13.3","1013.3","0"
"","","","","","","","","","","","","","","2024-01-03T00:00","15.0","94","8.4","13.7","1013.4","0"
"","","","","","","","","","","","","","","2024-01-03T01:00","15.5","96","9.7","15.8","1014.2","0"
"","","","","","","","","","","","","","","2024-01-03T02:00","15.4","96","8.7","15.8","1015.0","0"
"","","","","","","","","","","","","","","2024-01-03T03:00","16.8","90","10.7","17.6","1015.6","0"
"","","","","","","","","","","","","","","2024-01-03T04:00","19.1","79","10.1","20.9","1016.1","0"
"","","","","","","","","","","","","","","2024-01-03T05:00","21.6","70","10.1","22.7","1016.4","0"
"","","","","","","","","","","","","","","2024-01-03T06:00","23.8","62","10.0","23.4","1015.6","0"
"","","","","","","","","","","","","","","2024-01-03T07:00","25.3","52","10.5","24.5","1014.2","0"
"","","","","","","","","","","","","","","2024-01-03T08:00","26.3","44","11.8","26.3","1013.0","0"
"","","","","","","","","","","","","","","2024-01-03T09:00","26.8","40","12.3","26.6","1012.1","0"
