"latitude","longitude","generationtime_ms","utc_offset_seconds","timezone","timezone_abbreviation","elevation","hourly_units__time","hourly_units__temperature_2m","hourly_units__relative_humidity_2m","hourly_units__windspeed_10m","hourly_units__windgusts_10m","hourly_units__pressure_msl","hourly_units__weathercode","hourly__time","hourly__temperature_2m","hourly__relative_humidity_2m","hourly__windspeed_10m","hourly__windgusts_10m","hourly__pressure_msl","hourly__weathercode"
"23.0","72.625","0.07963180541992188","0","GMT","GMT","53.0","iso8601","°C","%","km/h","km/h","hPa","wmo code","2025-09-13T00:00","25.3","88","3.3","9.4","1008.1","1"
"","","","","","","","","","","","","","","2025-09-13T01:00","25.1","92","3.7","7.6","1008.4","1"
"","","","","","","","","","","","","","","2025-09-13T02:00","25.6","92","4.1","8.6","1009.1","2"
"","","","","","","","","","","","","","","2025-09-13T03:00","26.9","89","6.1","13.7","1010.0","2"
"","","","","","","","","","","","","","","2025-09-13T04:00","28.5","81","9.2","20.5","1010.0","2"
"","","","","","","","","","","","","","","2025-09-13T05:00","29.9","75","9.0","20.5","1010.1","2"
"","","","","","","","","","","","","","","2025-09-13T06:00","31.0","68","8.7","20.5","1009.6","3"
"","","","","","","","","","","","","","","2025-09-13T07:00","31.9","63","7.9","19.4","1009.0","3"
"","","","","","","","","","","","","","","2025-09-13T08:00","32.6","59","8.3","18.7","1007.7","3"
"","","","","","","","","","","","","","","2025-09-13T09:00","32.9","56","9.0","20.2","1006.7","2"
"","","","","","","","","","","","","","","2025-09-13T10:00","32.9","55","10.0","22.0","1005.9","2"
"","","","","","","","","","","","","","","2025-09-13T11:00","32.3","56","10.1","22.7","1005.7","2"
"","","","","","","","","","","","","","","2025-09-13T12:00","31.5","60","8.0","21.6","1005.7","3"
"","","","","","","","","","","","","","","2025-09-13T13:00","30.6","66","5.4","16.6","1006.5","3"
"","","","","","","","","","","","","","","2025-09-13T14:00","29.6","70","4.1","10.4","1007.2","3"
"","","","","","","","","","","","","","","2025-09-13T15:00","28.9","72","4.0","7.9","1007.7","3"
"","","","","","","","","","","","","","","2025-09-13T16:00","28.4","74","3.3","7.6","1008.1","3"
"","","","","","","","","","","","","","","2025-09-13T17:00","28.0","76","2.9","6.1","1008.0","3"
"","","","","","","","","","","","","","","2025-09-13T18:00","27.7","78","2.8","5.4","1008.0","3"
"","","","","","","","","","","","","","","2025-09-13T19:00","27.3","79","3.1","5.8","1007.4","3"
"","","","","","","","","","","","","","","2025-09-13T20:00","26.9","81","3.4","6.5","1007.1","3"
"","","","","","","","","","","","","","","2025-09-13T21:00","26.6","82","4.2","7.9","1006.6","3"
"","","","","","","","","","","","","","","2025-09-13T22:00","26.2","85","5.2","10.4","1006.6","3"
"","","","","","","","","","","","","","","2025-09-13T23:00","25.8","87","5.2","10.8","1006.7","2"
"","","","","","","","","","","","","","","2025-09-14T00:00","25.4","88","5.0","10.4","1007.1","3"
